                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.61323,                0.47701,                0.96686,                0.77401,                0.62792,                0.61893,                 0.3824,                 1.3136,                 1.0844,                 1.5128,             0.00061653,             0.00061653,             0.00061653
                     68,                0.59195,                0.45309,                0.94695,                 0.7468,                0.58664,                0.61265,                0.38298,                 1.3048,                 1.1276,                 1.5009,             0.00061203,             0.00061203,             0.00061203
                     69,                0.60069,                0.46537,                0.96466,                0.78595,                 0.5812,                0.60482,                 0.3762,                 1.3654,                 1.1348,                 1.5901,             0.00060753,             0.00060753,             0.00060753
                     70,                0.59154,                 0.4651,                0.95435,                0.68098,                 0.6096,                0.58588,                0.37046,                 1.3081,                 1.1542,                 1.5413,             0.00060303,             0.00060303,             0.00060303
                     71,                   0.58,                0.45717,                0.95822,                0.72256,                0.52405,                0.58322,                0.36066,                 1.3521,                 1.1629,                 1.5733,             0.00059853,             0.00059853,             0.00059853
                     72,                0.57239,                0.45361,                0.95328,                0.77067,                0.51063,                0.55134,                0.35305,                 1.2915,                 1.2337,                 1.5389,             0.00059403,             0.00059403,             0.00059403
                     73,                0.58142,                0.46181,                0.95719,                0.67289,                0.55681,                0.56639,                0.35788,                 1.2613,                 1.1253,                 1.4795,             0.00058953,             0.00058953,             0.00058953
                     74,                0.56439,                0.44299,                0.93772,                0.71631,                0.56552,                0.55978,                0.35842,                 1.2749,                 1.2136,                 1.4639,             0.00058503,             0.00058503,             0.00058503
                     75,                0.57495,                0.44853,                 0.9509,                0.78485,                0.52048,                 0.5793,                0.36013,                 1.3389,                 1.1787,                 1.5577,             0.00058053,             0.00058053,             0.00058053
                     76,                0.55978,                0.43263,                0.94871,                0.75275,                0.53293,                0.57326,                0.36019,                 1.3282,                 1.2469,                 1.5309,             0.00057603,             0.00057603,             0.00057603
                     77,                 0.5596,                0.43594,                0.94252,                0.83685,                0.53162,                 0.5642,                0.35461,                 1.3231,                  1.258,                 1.5268,             0.00057153,             0.00057153,             0.00057153
                     78,                0.56884,                 0.4479,                0.95315,                0.82799,                0.51963,                0.55661,                0.35195,                 1.3239,                 1.2172,                 1.5384,             0.00056703,             0.00056703,             0.00056703
                     79,                0.57155,                0.44102,                0.95041,                0.66721,                0.53487,                0.54716,                0.34754,                 1.2707,                 1.2076,                 1.4946,             0.00056253,             0.00056253,             0.00056253
                     80,                0.57139,                0.43466,                0.94277,                0.73215,                0.48768,                0.54105,                0.34917,                 1.2932,                 1.3005,                 1.4945,             0.00055804,             0.00055804,             0.00055804
                     81,                0.55244,                 0.4207,                0.94025,                0.71451,                0.53416,                0.55303,                0.35714,                 1.2698,                 1.2702,                 1.4698,             0.00055354,             0.00055354,             0.00055354
                     82,                0.54429,                0.40706,                0.93338,                0.80834,                0.51164,                0.56939,                0.36485,                 1.2675,                 1.2515,                 1.4761,             0.00054904,             0.00054904,             0.00054904
                     83,                0.54168,                0.41668,                0.93241,                0.71918,                0.53792,                0.56961,                0.36257,                 1.2555,                 1.1303,                 1.4727,             0.00054454,             0.00054454,             0.00054454
                     84,                0.54729,                0.42585,                0.93247,                0.68054,                0.61089,                0.59068,                0.36968,                 1.2682,                 1.0516,                 1.4981,             0.00054004,             0.00054004,             0.00054004
                     85,                0.54071,                0.41542,                0.94028,                0.71525,                0.58414,                0.59094,                0.38207,                 1.2715,                 1.0634,                 1.4991,             0.00053554,             0.00053554,             0.00053554
                     86,                0.53199,                0.40135,                0.92356,                0.72658,                0.58444,                0.59908,                0.37909,                 1.2671,                 1.2043,                 1.5131,             0.00053104,             0.00053104,             0.00053104
                     87,                0.52962,                0.40918,                 0.9276,                0.53215,                 0.5323,                0.57879,                0.36185,                 1.3443,                  1.357,                 1.5488,             0.00052654,             0.00052654,             0.00052654
                     88,                0.53425,                0.40843,                 0.9388,                0.68261,                0.56661,                0.60645,                0.37865,                 1.3084,                 1.1998,                 1.5415,             0.00052204,             0.00052204,             0.00052204
                     89,                0.51461,                0.39631,                0.92005,                0.84595,                0.52698,                0.58829,                0.38245,                   1.28,                 1.1388,                 1.5041,             0.00051754,             0.00051754,             0.00051754
                     90,                0.51134,                0.39241,                0.92067,                0.65557,                0.58622,                0.57487,                0.36797,                 1.2405,                 1.0815,                 1.4503,             0.00051304,             0.00051304,             0.00051304
                     91,                0.52064,                0.39057,                0.92705,                0.71171,                0.57729,                0.57296,                  0.374,                 1.2267,                 1.1108,                 1.4517,             0.00050854,             0.00050854,             0.00050854
                     92,                0.51102,                0.39368,                0.91912,                0.61331,                0.57451,                0.58231,                0.37501,                 1.2428,                  1.173,                 1.4942,             0.00050404,             0.00050404,             0.00050404
                     93,                0.53871,                0.41478,                0.93235,                0.75001,                0.60167,                0.59874,                0.36878,                 1.2956,                 1.1446,                 1.5433,             0.00049954,             0.00049954,             0.00049954
                     94,                0.54245,                0.41318,                0.93305,                0.54764,                0.55784,                0.59239,                0.37762,                 1.2696,                 1.1905,                 1.4767,             0.00049504,             0.00049504,             0.00049504
                     95,                0.51358,                0.40232,                  0.928,                0.60664,                0.57999,                0.61121,                0.39364,                 1.2966,                0.98591,                  1.522,             0.00049054,             0.00049054,             0.00049054
                     96,                0.52175,                0.39022,                0.92226,                0.61756,                0.54653,                0.60225,                0.38192,                 1.2936,                 1.0755,                 1.5069,             0.00048604,             0.00048604,             0.00048604
                     97,                0.50601,                0.38672,                0.91406,                0.57884,                0.57288,                0.59661,                 0.3887,                 1.2634,                 1.0857,                 1.4846,             0.00048154,             0.00048154,             0.00048154
                     98,                0.51749,                0.39305,                0.92918,                0.60464,                0.53991,                0.56198,                0.35442,                 1.3052,                 1.1588,                 1.5516,             0.00047704,             0.00047704,             0.00047704
                     99,                0.50398,                0.38693,                0.92248,                0.57582,                0.53329,                0.56704,                0.36061,                 1.2844,                 1.1275,                  1.525,             0.00047254,             0.00047254,             0.00047254
                    100,                0.50566,                0.38489,                0.92266,                0.74479,                0.52763,                0.57316,                 0.3592,                 1.3323,                 1.1506,                  1.573,             0.00046804,             0.00046804,             0.00046804
                    101,                0.51409,                0.38616,                0.91981,                  0.902,                0.50709,                 0.5873,                0.36769,                 1.3188,                 1.1559,                 1.5574,             0.00046354,             0.00046354,             0.00046354
                    102,                0.50014,                0.37673,                0.92061,                0.72173,                0.50364,                 0.5653,                0.35815,                 1.3114,                 1.2045,                 1.5448,             0.00045904,             0.00045904,             0.00045904
                    103,                0.50093,                0.37644,                0.91563,                0.74813,                0.47358,                 0.5349,                0.34287,                 1.3299,                 1.3405,                 1.5486,             0.00045455,             0.00045455,             0.00045455
                    104,                0.49314,                0.37566,                0.91782,                0.69508,                0.49228,                0.53646,                0.34364,                 1.3005,                 1.2519,                 1.5406,             0.00045005,             0.00045005,             0.00045005
                    105,                 0.4981,                0.37738,                0.91864,                0.68909,                0.51012,                  0.551,                0.34645,                 1.2805,                 1.1602,                 1.5234,             0.00044555,             0.00044555,             0.00044555
                    106,                0.47864,                0.36366,                0.90864,                0.68903,                0.51879,                0.55929,                0.35797,                 1.2865,                 1.1263,                 1.5206,             0.00044105,             0.00044105,             0.00044105
                    107,                0.49852,                0.37546,                0.91407,                0.69651,                0.56877,                0.56582,                 0.3634,                 1.2692,                 1.1665,                 1.4921,             0.00043655,             0.00043655,             0.00043655
                    108,                0.48585,                0.36138,                0.91703,                0.70468,                0.58496,                0.58155,                0.36772,                 1.2842,                 1.1073,                 1.5154,             0.00043205,             0.00043205,             0.00043205
                    109,                0.48391,                0.36394,                0.91031,                0.71556,                0.56495,                  0.577,                  0.365,                 1.2723,                 1.1275,                 1.5146,             0.00042755,             0.00042755,             0.00042755
                    110,                0.48743,                0.36193,                0.91897,                0.75081,                0.57457,                0.58538,                 0.3679,                 1.2635,                 1.0822,                 1.5122,             0.00042305,             0.00042305,             0.00042305
                    111,                0.47016,                0.36139,                0.90797,                0.76763,                0.56383,                0.56647,                0.37197,                  1.263,                 1.1068,                 1.5069,             0.00041855,             0.00041855,             0.00041855
